基準日,銘柄,発行日,償還日,利率,簿価,時価,修正デュレーション
2024-04-30,第448回利付国庫債券（2年）,2023-05-01,2025-05-01,0.00042,300000000,299900327.2442305,0.9994152779841435
2024-04-30,第142回利付国庫債券（5年）,2020-03-11,2024-12-20,-0.0022,6000000000,5983165178.97946,0.636360315196552
2024-04-30,第153回利付国庫債券（5年）,2022-09-14,2027-06-20,0.0004,10000000000,9913175182.37861,3.1317189191940518
2024-04-30,第335回利付国庫債券（10年）,2014-09-22,2024-09-20,0.00517,1000000000,1002200401.2996463,0.3859277956828186
2024-04-30,第347回利付国庫債券（10年）,2017-08-03,2027-06-20,0.00073,5000000000,4962342262.150294,3.129981784601148
2024-04-30,第95回利付国庫債券（20年）,2007-07-31,2027-06-20,0.02293,10000000000,10698949344.506502,3.0217003034446726
2024-04-30,第145回利付国庫債券（20年）,2013-06-20,2033-06-20,0.01686,15000000000,16277242034.502209,8.453838388347716
2024-05-31,第448回利付国庫債券（2年）,2023-05-01,2025-05-01,0.00042,300000000,299481426.3649325,0.9099414054723202
2024-05-31,第142回利付国庫債券（5年）,2020-03-11,2024-12-20,-0.0022,6000000000,5979019085.915123,0.5471339365157823
2024-05-31,第153回利付国庫債券（5年）,2022-09-14,2027-06-20,0.0004,10000000000,9875376728.661867,3.040926049860599
2024-05-31,第335回利付国庫債券（10年）,2014-09-22,2024-09-20,0.00517,1000000000,1001854479.2883139,0.2968748800794549
2024-05-31,第347回利付国庫債券（10年）,2017-08-03,2027-06-20,0.00073,5000000000,4943432743.865642,3.039185029397049
2024-05-31,第95回利付国庫債券（20年）,2007-07-31,2027-06-20,0.02293,10000000000,10659745643.310165,2.930678219815707
2024-05-31,第145回利付国庫債券（20年）,2013-06-20,2033-06-20,0.01686,15000000000,16052353641.829233,8.351762158695752
2024-06-28,第448回利付国庫債券（2年）,2023-05-01,2025-05-01,0.00042,300000000,299692075.06968844,0.8325123295509128
2024-06-28,第142回利付国庫債券（5年）,2020-03-11,2024-12-20,-0.0022,6000000000,5988478924.440243,0.4690410708037704
2024-06-28,第153回利付国庫債券（5年）,2022-09-14,2027-06-20,0.0004,10000000000,9898440992.677546,2.9650191865792173
2024-06-28,第169回利付国庫債券（5年）,2024-06-21,2029-03-20,0.00512,1400000000,1396063763.751895,4.65735147213621
2024-06-28,第335回利付国庫債券（10年）,2014-09-22,2024-09-20,0.00517,1000000000,1002178101.9961613,0.21925588516862643
2024-06-28,第347回利付国庫債券（10年）,2017-08-03,2027-06-20,0.00073,5000000000,4954146873.554655,2.9637777226613693
2024-06-28,第95回利付国庫債券（20年）,2007-07-31,2027-06-20,0.02293,10000000000,10571115408.882504,2.8855735647676157
2024-06-28,第145回利付国庫債券（20年）,2013-06-20,2033-06-20,0.01686,15000000000,15980774437.902958,8.34259123433411
2024-07-31,第448回利付国庫債券（2年）,2023-05-01,2025-05-01,0.00042,300000000,299505853.64194745,0.7488652124793409
2024-07-31,第142回利付国庫債券（5年）,2020-03-11,2024-12-20,-0.0022,6000000000,5986998227.862146,0.3855809385299671
2024-07-31,第153回利付国庫債券（5年）,2022-09-14,2027-06-20,0.0004,10000000000,9872180192.174816,2.880354454548617
2024-07-31,第169回利付国庫債券（5年）,2024-06-21,2029-03-20,0.00512,1400000000,1392414834.6729994,4.572607296036258
